,score,rank,ethnicity,gender,language,age,cls_perc_eval,cls_did_eval,cls_students,cls_level,cls_profs,cls_credits,bty_f1lower,bty_f1upper,bty_f2upper,bty_m1lower,bty_m1upper,bty_m2upper,bty_avg,tenure_eligible
22,4.5,tenure track,not minority,female,english,31,56.32184,49,87,upper,single,multi credit,7,9,9,7,6,6,7.333333333333333,1
23,4.4,tenured,not minority,male,english,62,64.53901,182,282,upper,multiple,multi credit,6,6,5,5,5,6,5.5,1
24,4.6,tenured,not minority,male,english,62,54.79452,160,292,upper,multiple,multi credit,6,6,5,5,5,6,5.5,1
25,4.7,tenured,not minority,male,english,62,60.76923000000001,79,130,upper,multiple,multi credit,6,6,5,5,5,6,5.5,1
26,4.5,tenured,not minority,male,english,62,61.75439,176,285,upper,single,multi credit,6,6,5,5,5,6,5.5,1
27,4.8,tenured,not minority,male,english,62,56.98529,155,272,upper,multiple,multi credit,6,6,5,5,5,6,5.5,1
28,4.9,tenured,not minority,male,english,62,58.041959999999996,166,286,upper,multiple,multi credit,6,6,5,5,5,6,5.5,1
29,4.5,tenured,not minority,male,english,62,61.58941,186,302,upper,single,multi credit,6,6,5,5,5,6,5.5,1
30,4.4,tenure track,not minority,female,english,33,80.48781,33,41,upper,single,multi credit,4,4,5,4,4,4,4.166666666666667,1
31,4.3,tenure track,not minority,female,english,33,85.29411999999999,29,34,upper,single,multi credit,4,4,5,4,4,4,4.166666666666667,1
32,4.1,tenure track,not minority,female,english,33,90.2439,37,41,upper,single,multi credit,4,4,5,4,4,4,4.166666666666667,1
33,4.2,tenure track,not minority,female,english,33,70.7317,29,41,upper,single,multi credit,4,4,5,4,4,4,4.166666666666667,1
34,3.5,tenure track,not minority,female,english,33,82.35294,28,34,upper,single,multi credit,4,4,5,4,4,4,4.166666666666667,1
35,3.4,tenured,not minority,female,english,51,60.975609999999996,25,41,upper,multiple,multi credit,4,6,6,2,3,3,4.0,1
36,4.5,tenured,not minority,female,english,51,95.45454000000001,21,22,upper,multiple,multi credit,4,6,6,2,3,3,4.0,1
37,4.4,tenured,not minority,female,english,51,61.904759999999996,13,21,upper,multiple,multi credit,4,6,6,2,3,3,4.0,1
38,4.4,tenured,not minority,female,english,51,94.11765,16,17,upper,multiple,multi credit,4,6,6,2,3,3,4.0,1
39,2.5,tenured,not minority,female,english,51,80.0,24,30,lower,multiple,multi credit,4,6,6,2,3,3,4.0,1
40,4.3,tenured,not minority,female,english,51,100.0,23,23,upper,multiple,multi credit,4,6,6,2,3,3,4.0,1
41,4.5,tenured,not minority,female,english,51,100.0,20,20,upper,multiple,multi credit,4,6,6,2,3,3,4.0,1
42,4.8,tenure track,not minority,female,english,33,80.0,48,60,upper,multiple,multi credit,3,7,5,5,3,5,4.666666666666667,1
43,4.8,tenure track,not minority,female,english,33,87.87878,29,33,upper,single,multi credit,3,7,5,5,3,5,4.666666666666667,1
44,4.4,tenure track,not minority,female,english,33,25.0,11,44,upper,multiple,multi credit,3,7,5,5,3,5,4.666666666666667,1
45,4.7,tenure track,not minority,female,english,33,59.18366999999999,29,49,upper,single,multi credit,3,7,5,5,3,5,4.666666666666667,1
46,4.4,tenure track,not minority,female,english,33,86.20689,25,29,upper,single,multi credit,3,7,5,5,3,5,4.666666666666667,1
47,4.7,tenure track,not minority,female,english,33,87.5,42,48,upper,multiple,multi credit,3,7,5,5,3,5,4.666666666666667,1
48,4.5,tenure track,not minority,female,english,33,85.0,34,40,upper,multiple,multi credit,3,7,5,5,3,5,4.666666666666667,1
49,4.0,teaching,not minority,male,english,47,84.21053,16,19,upper,single,multi credit,5,7,6,3,6,6,5.5,0
50,4.3,teaching,not minority,male,english,47,75.0,12,16,upper,multiple,multi credit,5,7,6,3,6,6,5.5,0
51,4.4,teaching,not minority,male,english,47,93.33334,14,15,upper,single,multi credit,5,7,6,3,6,6,5.5,0
52,4.5,teaching,not minority,male,english,47,95.65218,22,23,upper,single,multi credit,5,7,6,3,6,6,5.5,0
53,5.0,teaching,not minority,male,english,47,90.90909,10,11,lower,multiple,multi credit,5,7,6,3,6,6,5.5,0
54,4.9,teaching,not minority,male,english,47,58.62069,17,29,lower,multiple,multi credit,5,7,6,3,6,6,5.5,0
55,4.6,teaching,not minority,male,english,47,76.19048000000001,16,21,upper,multiple,multi credit,5,7,6,3,6,6,5.5,0
56,5.0,teaching,not minority,male,english,47,83.33334,15,18,lower,multiple,multi credit,5,7,6,3,6,6,5.5,0
57,4.7,teaching,not minority,male,english,47,84.21053,16,19,upper,single,multi credit,5,7,6,3,6,6,5.5,0
58,5.0,teaching,not minority,male,english,47,80.0,16,20,lower,multiple,multi credit,5,7,6,3,6,6,5.5,0
59,3.6,tenure track,minority,male,non-english,35,72.0,18,25,upper,single,multi credit,5,7,4,2,4,7,4.833333333333333,1
60,3.7,tenure track,minority,male,non-english,35,90.90909,30,33,upper,single,multi credit,5,7,4,2,4,7,4.833333333333333,1
61,4.3,tenure track,minority,male,non-english,35,95.83334,23,24,upper,single,multi credit,5,7,4,2,4,7,4.833333333333333,1
62,4.1,teaching,not minority,male,english,37,88.23529,30,34,upper,multiple,multi credit,4,5,5,3,5,4,4.333333333333333,0
63,4.2,teaching,not minority,male,english,37,61.904759999999996,13,21,upper,single,multi credit,4,5,5,3,5,4,4.333333333333333,0
64,4.7,teaching,not minority,male,english,37,80.0,24,30,upper,multiple,multi credit,4,5,5,3,5,4,4.333333333333333,0
65,4.7,teaching,not minority,male,english,37,96.0,24,25,upper,multiple,multi credit,4,5,5,3,5,4,4.333333333333333,0
66,3.5,teaching,not minority,male,english,37,71.42857,25,35,upper,multiple,multi credit,4,5,5,3,5,4,4.333333333333333,0
67,4.1,tenured,not minority,male,english,42,70.0,28,40,upper,multiple,multi credit,4,7,5,4,4,5,4.833333333333333,1
68,4.2,tenured,not minority,male,english,42,60.0,18,30,upper,multiple,multi credit,4,7,5,4,4,5,4.833333333333333,1
69,4.0,tenured,not minority,male,english,42,66.66666,28,42,upper,multiple,multi credit,4,7,5,4,4,5,4.833333333333333,1
70,4.0,tenured,not minority,male,english,42,43.85965,25,57,upper,single,multi credit,4,7,5,4,4,5,4.833333333333333,1
71,3.9,tenured,not minority,male,english,42,70.17544000000001,40,57,upper,single,multi credit,4,7,5,4,4,5,4.833333333333333,1
72,4.4,tenured,not minority,male,english,42,78.43137,40,51,upper,single,multi credit,4,7,5,4,4,5,4.833333333333333,1
73,3.8,tenured,not minority,male,english,42,60.0,18,30,upper,multiple,multi credit,4,7,5,4,4,5,4.833333333333333,1
74,3.5,tenured,not minority,male,non-english,49,83.33334,30,36,upper,multiple,multi credit,3,3,5,1,7,5,4.0,1
75,4.2,tenured,not minority,male,non-english,49,83.78378000000001,31,37,upper,single,multi credit,3,3,5,1,7,5,4.0,1
76,3.5,tenured,not minority,male,non-english,49,51.724140000000006,15,29,upper,multiple,multi credit,3,3,5,1,7,5,4.0,1
77,3.6,tenured,not minority,male,non-english,49,85.18519,23,27,upper,single,multi credit,3,3,5,1,7,5,4.0,1
78,2.9,tenure track,not minority,female,english,37,82.14286,23,28,upper,single,multi credit,6,7,7,5,4,4,5.5,1
79,3.3,tenure track,not minority,female,english,37,65.38461,34,52,upper,multiple,multi credit,6,7,7,5,4,4,5.5,1
80,3.3,tenure track,not minority,female,english,37,80.76923000000001,21,26,upper,single,multi credit,6,7,7,5,4,4,5.5,1
81,3.2,tenure track,not minority,female,english,37,96.66666,29,30,upper,single,multi credit,6,7,7,5,4,4,5.5,1
82,4.6,tenured,not minority,male,english,45,69.69697,23,33,upper,single,multi credit,2,4,3,5,4,7,4.166666666666667,1
83,4.2,tenured,not minority,male,english,45,25.42373,45,177,lower,single,multi credit,2,4,3,5,4,7,4.166666666666667,1
84,4.3,tenured,not minority,male,english,45,45.22613,90,199,lower,single,multi credit,2,4,3,5,4,7,4.166666666666667,1
85,4.4,tenured,not minority,male,english,45,84.375,27,32,upper,single,multi credit,2,4,3,5,4,7,4.166666666666667,1
86,4.1,tenured,not minority,male,english,45,94.5946,35,37,upper,single,multi credit,2,4,3,5,4,7,4.166666666666667,1
87,4.6,tenured,not minority,male,english,45,74.53416,120,161,lower,single,multi credit,2,4,3,5,4,7,4.166666666666667,1
88,4.4,teaching,not minority,female,english,56,65.85365999999999,27,41,upper,single,multi credit,3,4,1,2,2,3,2.5,0
89,4.8,teaching,not minority,female,english,56,88.63636,39,44,upper,single,multi credit,3,4,1,2,2,3,2.5,0
90,4.3,teaching,not minority,female,english,56,66.03773000000001,35,53,upper,multiple,multi credit,3,4,1,2,2,3,2.5,0
91,3.6,teaching,not minority,female,english,56,69.38776,34,49,upper,multiple,multi credit,3,4,1,2,2,3,2.5,0
92,4.3,teaching,not minority,female,english,56,84.375,27,32,upper,single,multi credit,3,4,1,2,2,3,2.5,0
93,4.0,teaching,not minority,male,english,48,74.07406999999999,100,135,lower,multiple,multi credit,3,5,6,4,4,4,4.333333333333333,0
94,4.2,teaching,not minority,male,english,48,60.60606,20,33,upper,multiple,multi credit,3,5,6,4,4,4,4.333333333333333,0
95,4.1,teaching,not minority,male,english,48,73.68421,14,19,upper,multiple,multi credit,3,5,6,4,4,4,4.333333333333333,0
96,4.1,teaching,not minority,male,english,48,58.55856,65,111,lower,multiple,multi credit,3,5,6,4,4,4,4.333333333333333,0
97,4.4,teaching,not minority,male,english,48,63.758390000000006,95,149,lower,multiple,multi credit,3,5,6,4,4,4,4.333333333333333,0
98,4.3,teaching,not minority,male,english,48,66.66666,18,27,upper,multiple,multi credit,3,5,6,4,4,4,4.333333333333333,0
99,4.4,teaching,not minority,male,english,48,62.5,85,136,lower,multiple,multi credit,3,5,6,4,4,4,4.333333333333333,0
100,4.4,teaching,not minority,male,english,48,80.71429,113,140,lower,multiple,multi credit,3,5,6,4,4,4,4.333333333333333,0
101,4.9,tenured,not minority,female,english,46,80.64516,25,31,upper,multiple,multi credit,4,4,5,2,6,5,4.333333333333333,1
102,5.0,tenured,not minority,female,english,46,93.33334,14,15,lower,multiple,multi credit,4,4,5,2,6,5,4.333333333333333,1
103,4.4,tenured,not minority,female,english,46,79.31035,23,29,upper,multiple,multi credit,4,4,5,2,6,5,4.333333333333333,1
104,4.8,tenured,not minority,female,english,46,92.0,23,25,upper,multiple,multi credit,4,4,5,2,6,5,4.333333333333333,1
105,4.9,tenured,not minority,female,english,46,50.0,9,18,upper,multiple,multi credit,4,4,5,2,6,5,4.333333333333333,1
106,4.3,tenured,not minority,female,english,46,66.66666,30,45,upper,multiple,multi credit,4,4,5,2,6,5,4.333333333333333,1
107,5.0,tenured,not minority,female,english,46,100.0,15,15,lower,multiple,multi credit,4,4,5,2,6,5,4.333333333333333,1
108,4.7,tenured,not minority,female,english,46,81.57895,31,38,upper,multiple,multi credit,4,4,5,2,6,5,4.333333333333333,1
109,4.5,tenured,not minority,female,english,46,80.0,12,15,lower,multiple,multi credit,4,4,5,2,6,5,4.333333333333333,1
110,3.5,teaching,not minority,female,english,57,60.714290000000005,17,28,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
111,3.9,teaching,not minority,female,english,57,43.47826,10,23,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
112,4.0,teaching,not minority,female,english,57,78.94736,15,19,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
113,4.0,teaching,not minority,female,english,57,30.43478,7,23,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
114,3.7,teaching,not minority,female,english,57,31.818179999999998,7,22,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
115,3.4,teaching,not minority,female,english,57,70.0,14,20,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
116,3.3,teaching,not minority,female,english,57,42.105259999999994,8,19,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
117,3.8,teaching,not minority,female,english,57,73.91304000000001,17,23,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
118,3.9,teaching,not minority,female,english,57,45.45454,10,22,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
119,3.4,teaching,not minority,female,english,57,80.0,12,15,upper,multiple,multi credit,5,4,4,5,2,6,4.333333333333333,0
120,3.7,teaching,not minority,female,english,52,86.36364,19,22,upper,single,multi credit,6,6,4,2,4,7,4.833333333333333,0
121,4.1,teaching,not minority,female,english,52,87.09676999999999,27,31,upper,multiple,multi credit,6,6,4,2,4,7,4.833333333333333,0
122,3.7,teaching,not minority,female,english,52,95.2381,20,21,upper,multiple,multi credit,6,6,4,2,4,7,4.833333333333333,0
123,3.5,teaching,not minority,female,english,52,86.11111,31,36,upper,multiple,multi credit,6,6,4,2,4,7,4.833333333333333,0
124,3.5,teaching,not minority,female,english,52,89.47369,17,19,upper,multiple,one credit,6,6,4,2,4,7,4.833333333333333,0
125,4.4,teaching,not minority,female,english,52,62.16216,23,37,upper,single,multi credit,6,6,4,2,4,7,4.833333333333333,0
126,3.4,tenure track,minority,female,non-english,29,73.07692,19,26,upper,single,multi credit,3,3,4,2,3,2,2.8333333333333335,1
127,4.3,tenured,not minority,male,english,62,76.92308,30,39,upper,single,multi credit,4,3,4,1,2,4,3.0,1
128,3.7,tenured,not minority,male,english,62,51.08696,94,184,lower,single,multi credit,4,3,4,1,2,4,3.0,1
129,4.7,tenured,not minority,male,english,62,92.0,46,50,upper,single,multi credit,4,3,4,1,2,4,3.0,1
130,3.9,tenured,not minority,male,english,62,50.95541,80,157,lower,single,multi credit,4,3,4,1,2,4,3.0,1
131,3.6,tenured,not minority,male,english,62,37.19512,61,164,lower,single,multi credit,4,3,4,1,2,4,3.0,1
132,4.5,tenured,not minority,male,english,64,62.5,15,24,upper,multiple,multi credit,5,4,5,3,3,5,4.166666666666667,1
133,4.5,tenured,not minority,male,english,64,75.0,51,68,upper,multiple,multi credit,5,4,5,3,3,5,4.166666666666667,1
134,4.8,tenured,not minority,male,english,64,46.80851,22,47,upper,multiple,multi credit,5,4,5,3,3,5,4.166666666666667,1
135,4.8,tenured,not minority,male,english,64,71.42857,10,14,upper,multiple,multi credit,5,4,5,3,3,5,4.166666666666667,1
136,4.7,tenured,not minority,male,english,64,73.33334,11,15,upper,multiple,multi credit,5,4,5,3,3,5,4.166666666666667,1
137,4.5,tenured,not minority,male,english,64,62.5,15,24,upper,multiple,multi credit,5,4,5,3,3,5,4.166666666666667,1
138,4.3,tenured,not minority,male,english,64,53.84615,21,39,upper,multiple,multi credit,5,4,5,3,3,5,4.166666666666667,1
139,4.8,tenure track,not minority,female,english,34,76.92308,20,26,upper,multiple,multi credit,8,9,8,6,8,8,7.833333333333333,1
140,4.1,tenure track,not minority,female,english,34,82.5,33,40,upper,multiple,multi credit,8,9,8,6,8,8,7.833333333333333,1
141,4.4,tenured,not minority,male,english,58,52.83019,84,159,upper,single,multi credit,4,4,5,2,4,4,3.8333333333333335,1
142,4.3,tenured,not minority,male,english,58,47.019870000000004,71,151,upper,single,multi credit,4,4,5,2,4,4,3.8333333333333335,1
143,3.6,tenured,not minority,male,english,58,76.59574,36,47,lower,single,multi credit,4,4,5,2,4,4,3.8333333333333335,1
144,4.5,tenured,not minority,male,english,58,59.83606999999999,73,122,upper,single,multi credit,4,4,5,2,4,4,3.8333333333333335,1
145,4.3,tenured,not minority,male,english,58,68.88889,31,45,lower,single,multi credit,4,4,5,2,4,4,3.8333333333333335,1
146,4.4,tenured,minority,male,non-english,52,81.25,13,16,upper,single,multi credit,4,5,7,5,4,4,4.833333333333333,1
147,4.7,tenured,minority,male,non-english,52,100.0,23,23,upper,single,multi credit,4,5,7,5,4,4,4.833333333333333,1
148,4.8,tenured,minority,male,non-english,52,75.0,12,16,upper,single,multi credit,4,5,7,5,4,4,4.833333333333333,1
149,3.5,tenured,minority,male,non-english,52,83.33334,15,18,upper,single,multi credit,4,5,7,5,4,4,4.833333333333333,1
150,3.8,tenured,minority,male,non-english,52,68.75,11,16,upper,single,multi credit,4,5,7,5,4,4,4.833333333333333,1
151,3.6,tenured,minority,male,non-english,52,80.0,12,15,upper,single,multi credit,4,5,7,5,4,4,4.833333333333333,1
152,4.2,tenured,minority,male,non-english,52,64.28571,18,28,upper,multiple,multi credit,4,5,7,5,4,4,4.833333333333333,1
153,3.6,tenured,not minority,male,english,73,70.58823000000001,12,17,upper,single,multi credit,1,3,6,2,1,5,3.0,1
154,4.4,tenured,not minority,male,english,73,76.92308,10,13,upper,single,multi credit,1,3,6,2,1,5,3.0,1
155,3.7,tenured,not minority,male,english,73,76.19048000000001,16,21,upper,multiple,multi credit,1,3,6,2,1,5,3.0,1
156,4.3,tenured,not minority,male,english,73,76.47059,13,17,upper,single,multi credit,1,3,6,2,1,5,3.0,1
157,4.6,tenured,not minority,male,english,70,35.07463,47,134,upper,single,multi credit,5,3,2,3,3,2,3.0,1
158,4.6,tenured,not minority,male,english,70,10.41667,5,48,upper,single,multi credit,5,3,2,3,3,2,3.0,1
159,4.1,tenured,not minority,male,english,70,53.125,34,64,upper,single,multi credit,5,3,2,3,3,2,3.0,1
160,3.6,tenured,not minority,male,english,70,34.78261,24,69,upper,single,multi credit,5,3,2,3,3,2,3.0,1
161,2.3,tenure track,not minority,female,english,41,83.33334,10,12,upper,single,multi credit,3,6,7,4,4,7,5.166666666666667,1
162,4.3,teaching,not minority,male,english,63,65.11628,28,43,upper,single,multi credit,5,4,6,4,2,5,4.333333333333333,0
163,4.4,teaching,not minority,male,english,63,78.57143,11,14,upper,multiple,multi credit,5,4,6,4,2,5,4.333333333333333,0
164,3.6,teaching,not minority,male,english,63,66.66666,10,15,upper,single,multi credit,5,4,6,4,2,5,4.333333333333333,0
165,4.4,teaching,not minority,male,english,63,77.77778,14,18,upper,multiple,multi credit,5,4,6,4,2,5,4.333333333333333,0
166,3.9,teaching,not minority,male,english,63,75.0,12,16,upper,multiple,multi credit,5,4,6,4,2,5,4.333333333333333,0
167,3.8,teaching,not minority,male,english,63,80.0,8,10,upper,multiple,multi credit,5,4,6,4,2,5,4.333333333333333,0
168,3.4,teaching,not minority,male,english,63,48.936170000000004,23,47,upper,multiple,multi credit,5,4,6,4,2,5,4.333333333333333,0
169,4.9,tenured,not minority,male,english,47,66.66666,10,15,upper,multiple,multi credit,1,4,3,2,3,3,2.6666666666666665,1
170,4.1,tenured,not minority,male,english,47,71.42857,10,14,upper,multiple,multi credit,1,4,3,2,3,3,2.6666666666666665,1
171,3.2,tenured,not minority,male,english,47,83.33334,10,12,upper,single,multi credit,1,4,3,2,3,3,2.6666666666666665,1
172,4.2,tenured,not minority,male,english,39,34.95935,86,246,lower,multiple,multi credit,5,6,6,6,5,5,5.5,1
173,3.9,tenured,not minority,male,english,39,48.73418,154,316,lower,multiple,multi credit,5,6,6,6,5,5,5.5,1
174,4.9,tenured,not minority,male,english,39,80.0,12,15,upper,multiple,multi credit,5,6,6,6,5,5,5.5,1
175,4.7,tenured,not minority,male,english,39,93.33334,14,15,upper,multiple,multi credit,5,6,6,6,5,5,5.5,1
176,4.4,tenured,not minority,male,english,39,93.10345,27,29,upper,single,multi credit,5,6,6,6,5,5,5.5,1
177,4.2,tenure track,minority,female,english,47,100.0,21,21,lower,single,multi credit,2,6,6,3,5,4,4.333333333333333,1
178,4.0,tenure track,minority,female,english,47,100.0,8,8,upper,multiple,multi credit,2,6,6,3,5,4,4.333333333333333,1
179,4.4,tenure track,minority,female,english,47,100.0,16,16,lower,single,one credit,2,6,6,3,5,4,4.333333333333333,1
180,3.9,tenure track,minority,female,english,47,92.30769000000001,24,26,lower,single,multi credit,2,6,6,3,5,4,4.333333333333333,1
181,4.4,tenure track,minority,female,english,47,70.0,7,10,upper,multiple,multi credit,2,6,6,3,5,4,4.333333333333333,1
182,3.0,tenure track,minority,female,english,47,96.15385,25,26,lower,single,multi credit,2,6,6,3,5,4,4.333333333333333,1
183,3.5,tenure track,minority,female,english,47,92.30769000000001,24,26,lower,single,multi credit,2,6,6,3,5,4,4.333333333333333,1
184,2.8,tenure track,minority,female,english,47,92.30769000000001,24,26,lower,single,multi credit,2,6,6,3,5,4,4.333333333333333,1
185,4.6,tenure track,minority,female,english,47,95.2381,20,21,lower,single,one credit,2,6,6,3,5,4,4.333333333333333,1
186,4.3,tenure track,minority,female,english,47,100.0,12,12,lower,single,multi credit,2,6,6,3,5,4,4.333333333333333,1
187,3.4,tenure track,minority,female,english,47,92.59259,25,27,lower,single,multi credit,2,6,6,3,5,4,4.333333333333333,1
188,3.0,tenure track,minority,female,english,47,96.2963,26,27,lower,single,multi credit,2,6,6,3,5,4,4.333333333333333,1
189,4.2,tenure track,minority,female,english,47,96.0,24,25,lower,single,multi credit,2,6,6,3,5,4,4.333333333333333,1
190,4.3,tenured,not minority,male,english,54,100.0,15,15,upper,single,multi credit,1,2,4,1,2,4,2.3333333333333335,1
191,4.1,tenured,not minority,male,english,54,66.66666,10,15,upper,single,multi credit,1,2,4,1,2,4,2.3333333333333335,1
192,4.6,tenured,not minority,male,english,54,94.11765,16,17,upper,single,multi credit,1,2,4,1,2,4,2.3333333333333335,1
193,3.9,tenured,minority,female,english,44,54.54546,30,55,upper,multiple,multi credit,6,8,8,5,7,5,6.5,1
194,3.5,tenured,minority,female,english,44,72.91666,35,48,upper,single,multi credit,6,8,8,5,7,5,6.5,1
195,4.0,tenured,minority,female,english,44,100.0,21,21,upper,multiple,multi credit,6,8,8,5,7,5,6.5,1
196,4.0,tenured,minority,female,english,44,89.74359,35,39,upper,multiple,multi credit,6,8,8,5,7,5,6.5,1
197,3.9,tenured,minority,male,english,47,74.07406999999999,20,27,upper,single,multi credit,2,2,2,2,2,4,2.3333333333333335,1
198,3.3,tenured,minority,male,english,47,64.28571,9,14,upper,single,multi credit,2,2,2,2,2,4,2.3333333333333335,1
199,4.0,tenured,minority,male,english,47,80.76923000000001,21,26,upper,single,multi credit,2,2,2,2,2,4,2.3333333333333335,1
200,3.8,tenured,minority,male,english,47,81.25,13,16,upper,multiple,multi credit,2,2,2,2,2,4,2.3333333333333335,1
201,4.2,tenured,minority,male,english,47,81.25,13,16,upper,multiple,multi credit,2,2,2,2,2,4,2.3333333333333335,1
202,4.0,tenured,minority,male,english,47,92.30769000000001,12,13,upper,multiple,multi credit,2,2,2,2,2,4,2.3333333333333335,1
203,3.8,tenured,minority,male,english,47,100.0,14,14,upper,single,multi credit,2,2,2,2,2,4,2.3333333333333335,1
204,3.3,tenured,minority,male,english,47,88.23529,15,17,upper,multiple,multi credit,2,2,2,2,2,4,2.3333333333333335,1
205,4.1,tenured,not minority,male,english,62,92.30769000000001,12,13,upper,multiple,multi credit,3,2,5,3,2,3,3.0,1
206,4.7,tenured,not minority,male,english,62,86.66666,13,15,upper,single,multi credit,3,2,5,3,2,3,3.0,1
207,4.4,tenured,not minority,male,english,62,70.0,7,10,upper,multiple,multi credit,3,2,5,3,2,3,3.0,1
208,4.8,tenured,not minority,male,english,60,73.52941,25,34,upper,multiple,multi credit,4,4,6,2,2,4,3.6666666666666665,1
209,4.8,tenured,not minority,male,english,60,75.0,12,16,upper,single,multi credit,4,4,6,2,2,4,3.6666666666666665,1
210,4.6,tenured,not minority,male,english,60,78.57143,11,14,upper,single,multi credit,4,4,6,2,2,4,3.6666666666666665,1
211,4.6,tenured,not minority,male,english,60,66.66666,8,12,upper,single,multi credit,4,4,6,2,2,4,3.6666666666666665,1
212,4.8,tenured,not minority,male,english,60,61.53846,24,39,upper,single,multi credit,4,4,6,2,2,4,3.6666666666666665,1
213,4.4,tenured,not minority,male,english,60,42.85714,15,35,upper,single,multi credit,4,4,6,2,2,4,3.6666666666666665,1
214,4.7,tenured,not minority,male,english,60,68.88889,31,45,upper,multiple,multi credit,4,4,6,2,2,4,3.6666666666666665,1
215,4.7,tenured,not minority,male,english,60,80.0,36,45,lower,multiple,multi credit,4,4,6,2,2,4,3.6666666666666665,1
216,3.3,tenure track,not minority,male,english,37,88.23529,15,17,upper,single,multi credit,4,8,7,5,5,8,6.166666666666667,1
217,4.4,tenure track,not minority,male,english,42,92.85714,13,14,upper,multiple,multi credit,3,5,3,3,6,4,4.0,1
218,4.3,tenure track,not minority,male,english,42,100.0,14,14,upper,multiple,multi credit,3,5,3,3,6,4,4.0,1
219,4.9,tenure track,not minority,male,english,42,92.85714,13,14,upper,multiple,multi credit,3,5,3,3,6,4,4.0,1
220,4.4,tenure track,not minority,male,english,42,100.0,12,12,upper,multiple,multi credit,3,5,3,3,6,4,4.0,1
221,4.7,tenure track,not minority,male,english,42,86.66666,13,15,upper,multiple,multi credit,3,5,3,3,6,4,4.0,1
222,4.3,tenured,not minority,male,english,35,82.35294,42,51,upper,single,multi credit,4,7,2,6,4,6,4.833333333333333,1
223,4.8,tenured,not minority,male,english,35,91.30434,21,23,lower,multiple,multi credit,4,7,2,6,4,6,4.833333333333333,1
